대학명,연도,학과,학과_원본명,모집인원,지원인원,합격인원,최종합격_토익환산점수,최종합격_토익원점수,최종합격_학점환산점수,최종합격_학점원점수_100점만점,비고,합격자기준
강원대학교,2026,스마트팜농산업학과,스마트팜농산업학과,1,6,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,원예·농업자원경제학부(농업자원경제학전공),원예·농업자원경제학부(농업자원경제학전공),5,8,4,,694.0,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,원예·농업자원경제학부(원예과학전공),원예·농업자원경제학부(원예과학전공),5,7,4,,668.99,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,지역건설공학과,지역건설공학과,4,9,4,,605.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,환경융합학부(바이오자원환경학전공),환경융합학부(바이오자원환경학전공),4,4,0,,377.49,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,환경융합학부(에코환경과학전공),환경융합학부(에코환경과학전공),4,3,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,동물산업융합학과,동물산업융합학과,4,6,4,,512.51,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,동물응용과학과,동물응용과학과,6,6,3,,526.67,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,동물자원과학과,동물자원과학과,13,16,7,,668.46,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,건축학과(오년제),건축학과(오년제),2,19,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,건축·토목·환경공학부(건축공학전공),건축·토목·환경공학부(건축공학전공),6,11,4,,750.84,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,건축·토목·환경공학부(토목공학전공),건축·토목·환경공학부(토목공학전공),5,15,5,,728.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,건축·토목·환경공학부(환경공학전공),건축·토목·환경공학부(환경공학전공),6,8,6,,615.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,기계의용·메카트로닉스공학과,기계의용·메카트로닉스공학과,14,26,6,,736.43,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,배터리융합공학과,배터리융합공학과,5,12,1,,706.0,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,에너지자원·산업공학부(산업공학전공),에너지자원·산업공학부(산업공학전공),5,9,4,,755.99,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,에너지자원·산업공학부(에너지자원공학전공),에너지자원·산업공학부(에너지자원공학전공),9,12,2,,583.75,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,화공·생물공학부(생물공학전공),화공·생물공학부(생물공학전공),4,6,3,,696.25,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,화공·생물공학부(화학공학전공),화공·생물공학부(화학공학전공),7,12,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,음악학과,음악학과,9,4,0,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,영상문화학과,영상문화학과,9,23,9,,835.55,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,교육학과,교육학과,2,6,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,국어교육과,국어교육과,2,10,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,역사교육과,역사교육과,1,5,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,영어교육과,영어교육과,6,14,5,,924.17,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,윤리교육과,윤리교육과,1,12,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,지리교육과,지리교육과,1,6,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,한문교육과,한문교육과,2,6,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,가정교육과,가정교육과,3,11,3,,841.68,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,과학교육학부,과학교육학부,6,13,3,,836.67,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,문화인류학과,문화인류학과,10,17,9,,671.0,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,미디어커뮤니케이션학과,미디어커뮤니케이션학과,1,7,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,부동산학과,부동산학과,5,10,4,,665.02,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,사회학과,사회학과,3,8,3,,768.33,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,정치외교학과,정치외교학과,6,10,3,,646.66,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,행정·심리학부(심리학전공),행정·심리학부(심리학전공),2,14,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,행정·심리학부(행정학전공),행정·심리학부(행정학전공),9,24,9,,868.88,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,목재·종이과학부(목재과학전공),목재·종이과학부(목재과학전공),3,2,1,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,목재·종이과학부(종이소재과학전공),목재·종이과학부(종이소재과학전공),4,2,0,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,산림과학부(산림경영학전공),산림과학부(산림경영학전공),6,9,6,,595.85,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,산림과학부(산림자원학전공),산림과학부(산림자원학전공),4,6,3,,821.24,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,산림과학부(산림환경보호학전공),산림과학부(산림환경보호학전공),6,9,5,,472.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생태조경디자인학과,생태조경디자인학과,5,8,4,,724.01,,87.74,,최초
강원대학교,2026,분자생명과학과,분자생명과학과,2,2,2,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생명건강공학과,생명건강공학과,4,7,4,,618.75,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생물의소재공학과,생물의소재공학과,5,9,5,,580.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,의생명융합학부(시스템면역과학전공),의생명융합학부(시스템면역과학전공),4,7,3,,838.74,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,의생명융합학부(의생명공학전공),의생명융합학부(의생명공학전공),5,9,1,,717.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(국어국문학전공),인문학부(국어국문학전공),5,6,2,,628.75,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(독어독문학전공),인문학부(독어독문학전공),4,4,1,,585.02,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(불어불문학전공),인문학부(불어불문학전공),3,3,1,,668.34,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(사학전공),인문학부(사학전공),13,19,12,,676.55,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(영어영문학전공),인문학부(영어영문학전공),7,10,2,,832.86,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(일본학전공),인문학부(일본학전공),10,17,9,,760.5,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(중어중문학전공),인문학부(중어중문학전공),10,10,5,,651.0,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,인문학부(철학전공),인문학부(철학전공),10,10,5,,595.99,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,반도체물리학과,반도체물리학과,4,5,2,,556.25,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생명과학과,생명과학과,6,9,5,,760.83,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,수학과,수학과,4,4,2,,698.32,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,지질·지구물리학부(지구물리학전공),지질·지구물리학부(지구물리학전공),2,0,0,,,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,지질·지구물리학부(지질학전공),지질·지구물리학부(지질학전공),4,4,0,,697.49,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,화학·생화학부(생화학전공),화학·생화학부(생화학전공),5,7,5,,694.0,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,화공·생물공학부(화학공학전공),화학·생화학부(화학전공),5,7,2,,746.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,디지털밀리터리학과,디지털밀리터리학과,4,3,0,,643.32,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,전기전자공학과,전기전자공학과,11,32,9,,854.55,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,전자공학과,전자공학과,9,20,2,,787.23,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,컴퓨터공학과,컴퓨터공학과,24,48,18,,818.13,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,AI융합학과,AI융합학과,7,14,6,,734.29,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
경북대학교,2026,국어국문학과,국어국문학과,3,22,3,83.84,830.02,49.45,97.25,,확인불가
경북대학교,2026,영어영문학과,영어영문학과,4,51,4,96.97,960.0,48.52,92.6,,확인불가
경북대학교,2026,사학과,사학과,3,15,3,80.3,794.97,48.35,91.75,,확인불가
경북대학교,2026,철학과,철학과,4,14,4,89.01,881.2,48.5,92.5,,확인불가
경북대학교,2026,불어불문학과,불어불문학과,3,14,3,90.23,893.28,48.59,92.95,,확인불가
경북대학교,2026,독어독문학과,독어독문학과,1,3,1,,,,,,확인불가
경북대학교,2026,중어중문학과,중어중문학과,1,11,1,,,,,,확인불가
경북대학교,2026,고고인류학과,고고인류학과,4,14,4,84.47,836.25,48.82,94.1,,확인불가
경북대학교,2026,일어일문학과,일어일문학과,2,12,2,88.39,875.06,48.11,90.55,,확인불가
경북대학교,2026,한문학과,한문학과,1,4,0,,,,,,확인불가
경북대학교,2026,노어노문학과,노어노문학과,3,14,3,77.78,770.02,47.7,88.5,,확인불가
경북대학교,2026,정치외교학과,정치외교학과,5,24,5,88.89,880.01,48.35,91.75,,확인불가
경북대학교,2026,사회학과,사회학과,1,12,1,,,,,,확인불가
경북대학교,2026,지리학과,지리학과,2,10,2,85.61,847.54,48.93,94.65,,확인불가
경북대학교,2026,심리학과,심리학과,3,32,3,95.45,944.96,48.41,92.05,,확인불가
경북대학교,2026,사회복지학부,사회복지학부,3,25,1,,,,,,확인불가
경북대학교,2026,미디어커뮤니케이션학과,미디어커뮤니케이션학과,1,34,1,,,,,,확인불가
경북대학교,2026,수학과,수학과,6,13,6,73.99,732.5,48.69,93.45,,확인불가
경북대학교,2026,물리학과,물리학과,1,7,1,,,,,,확인불가
경북대학교,2026,화학과,화학과,3,26,3,87.71,868.33,49.12,95.6,,확인불가
경북대학교,2026,생명공학부,생명공학부,13,87,13,92.93,920.01,49.03,95.15,,확인불가
경북대학교,2026,생물학과,생물학과,2,15,2,85.86,850.01,48.33,91.65,,확인불가
경북대학교,2026,통계학과,통계학과,3,19,3,90.4,894.96,49.43,97.15,,확인불가
경북대학교,2026,지구시스템과학부(지질학전공),지구시스템과학부(지질학전공),1,12,1,,,,,,확인불가
경북대학교,2026,지구시스템과학부(천문대기과학전공),지구시스템과학부(천문대기과학전공),1,4,1,,,,,,확인불가
경북대학교,2026,지구시스템과학부(해양학전공),지구시스템과학부(해양학전공),2,14,2,78.79,780.02,48.12,90.6,,확인불가
경북대학교,2026,경제통상학부,경제통상학부,5,56,5,94.85,939.01,49.14,95.7,,확인불가
경북대학교,2026,경영학부,경영학부,6,90,5,96.66,956.93,49.25,96.25,,확인불가
경북대학교,2026,금속재료공학과,금속재료공학과,1,8,1,,,,,,확인불가
경북대학교,2026,신소재공학과,신소재공학과,1,16,1,,,,,,확인불가
경북대학교,2026,기계공학부,기계공학부,14,77,8,88.95,880.61,49.1,95.5,,확인불가
경북대학교,2026,건축학부(건축학전공),건축학부(건축학전공),3,21,3,87.54,866.65,47.79,88.95,,확인불가
경북대학교,2026,건축학부(건축학전공),건축학부(건축공학전공),4,28,4,88.76,878.72,48.35,91.75,,확인불가
경북대학교,2026,토목공학과,토목공학과,5,28,5,89.7,888.03,48.79,93.95,,확인불가
경북대학교,2026,응용화학과,응용화학과,1,9,1,,,,,,확인불가
경북대학교,2026,화학공학과,화학공학과,2,21,1,,,,,,확인불가
경북대학교,2026,고분자공학과,고분자공학과,1,5,1,,,,,,확인불가
경북대학교,2026,섬유시스템공학과,섬유시스템공학과,5,13,5,75.55,747.95,47.75,88.75,,확인불가
경북대학교,2026,환경공학과,환경공학과,3,13,3,88.05,871.7,49.25,96.25,,확인불가
경북대학교,2026,에너지공학부,에너지공학부,8,26,5,78.08,772.99,48.68,93.4,,확인불가
경북대학교,2026,응용생명과학부,응용생명과학부,5,28,5,85.35,844.97,48.69,93.45,,확인불가
경북대학교,2026,식물의학과,식물의학과,1,10,1,,,,,,확인불가
경북대학교,2026,식품공학부,식품공학부,6,48,6,88.89,880.01,48.94,94.7,,확인불가
경북대학교,2026,산림과학ㆍ조경학부(임학전공),산림과학ㆍ조경학부(임학전공),3,13,3,90.07,891.69,47.78,88.9,,확인불가
경북대학교,2026,산림과학ㆍ조경학부(임산공학전공),산림과학ㆍ조경학부(임산공학전공),2,8,2,77.02,762.5,49.06,95.3,,확인불가
경북대학교,2026,산림과학ㆍ조경학부(조경학전공),산림과학ㆍ조경학부(조경학전공),3,15,3,86.7,858.33,48.72,93.6,,확인불가
경북대학교,2026,원예과학과,원예과학과,4,20,4,82.95,821.21,48.64,93.2,,확인불가
경북대학교,2026,바이오섬유소재학과,바이오섬유소재학과,2,3,1,,,,,,확인불가
경북대학교,2026,농업토목공학과,농업토목공학과,1,5,1,,,,,,확인불가
경북대학교,2026,스마트생물산업기계공학과,스마트생물산업기계공학과,3,5,3,75.59,748.34,48.13,90.65,,확인불가
경북대학교,2026,식품자원경제학과,식품자원경제학과,3,23,3,86.2,853.38,49.41,97.05,,확인불가
경북대학교,2026,성악전공,성악전공,1,1,0,,,,,,확인불가
경북대학교,2026,기악전공(가야금),기악전공(가야금),1,0,0,,,,,,확인불가
경북대학교,2026,한국화전공,한국화전공,1,0,0,,,,,,확인불가
경북대학교,2026,국어교육과,국어교육과,7,28,7,75.25,744.98,48.99,94.95,,확인불가
